"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 18:54:37 WAT 2024","Sun Jun 09 18:54:41 WAT 2024","4251","chromium","UI_test.spec.js","","","","ChangeProductSorting",""
"passed","Sun Jun 09 18:54:02 WAT 2024","Sun Jun 09 18:54:04 WAT 2024","1893","chromium","API_test.spec.js","","","","Total number of posts",""
"passed","Sun Jun 09 18:54:41 WAT 2024","Sun Jun 09 18:54:42 WAT 2024","809","firefox","API_test.spec.js","","","","Get Only One User",""
"passed","Sun Jun 09 18:55:25 WAT 2024","Sun Jun 09 18:55:26 WAT 2024","670","webkit","API_test.spec.js","","","","Update User",""
"passed","Sun Jun 09 18:54:06 WAT 2024","Sun Jun 09 18:54:37 WAT 2024","31568","chromium","UI_test.spec.js","","","","ProductPage",""
"passed","Sun Jun 09 18:55:24 WAT 2024","Sun Jun 09 18:55:25 WAT 2024","1202","webkit","API_test.spec.js","","","","Create a New User",""
"passed","Sun Jun 09 18:54:39 WAT 2024","Sun Jun 09 18:54:40 WAT 2024","997","firefox","API_test.spec.js","","","","Total number of posts",""
"passed","Sun Jun 09 18:54:05 WAT 2024","Sun Jun 09 18:54:06 WAT 2024","1109","chromium","API_test.spec.js","","","","Delete User",""
"passed","Sun Jun 09 18:55:27 WAT 2024","Sun Jun 09 18:55:40 WAT 2024","13094","webkit","UI_test.spec.js","","","","ProductPage",""
"passed","Sun Jun 09 18:54:40 WAT 2024","Sun Jun 09 18:54:41 WAT 2024","970","firefox","API_test.spec.js","","","","Create a New User",""
"passed","Sun Jun 09 18:54:04 WAT 2024","Sun Jun 09 18:54:05 WAT 2024","977","chromium","API_test.spec.js","","","","Update User",""
"passed","Sun Jun 09 18:54:42 WAT 2024","Sun Jun 09 18:54:43 WAT 2024","917","firefox","API_test.spec.js","","","","Update User",""
"passed","Sun Jun 09 18:54:02 WAT 2024","Sun Jun 09 18:54:03 WAT 2024","1697","chromium","API_test.spec.js","","","","Create a New User",""
"passed","Sun Jun 09 18:54:03 WAT 2024","Sun Jun 09 18:54:05 WAT 2024","1126","chromium","API_test.spec.js","","","","Get Only One User",""
"passed","Sun Jun 09 18:55:38 WAT 2024","Sun Jun 09 18:55:41 WAT 2024","2907","webkit","UI_test.spec.js","","","","ChangeProductSorting",""
"passed","Sun Jun 09 18:54:43 WAT 2024","Sun Jun 09 18:55:16 WAT 2024","32546","firefox","UI_test.spec.js","","","","ProductPage",""
"passed","Sun Jun 09 18:55:15 WAT 2024","Sun Jun 09 18:55:19 WAT 2024","3291","firefox","UI_test.spec.js","","","","ChangeProductSorting",""
"passed","Sun Jun 09 18:55:25 WAT 2024","Sun Jun 09 18:55:26 WAT 2024","697","webkit","API_test.spec.js","","","","Get Only One User",""
"passed","Sun Jun 09 18:55:24 WAT 2024","Sun Jun 09 18:55:25 WAT 2024","1219","webkit","API_test.spec.js","","","","Total number of posts",""
"passed","Sun Jun 09 18:55:26 WAT 2024","Sun Jun 09 18:55:27 WAT 2024","721","webkit","API_test.spec.js","","","","Delete User",""
"passed","Sun Jun 09 18:54:42 WAT 2024","Sun Jun 09 18:54:42 WAT 2024","895","firefox","API_test.spec.js","","","","Delete User",""
"passed","Sun Jun 09 18:55:26 WAT 2024","Sun Jun 09 18:55:38 WAT 2024","12223","webkit","Login.spec.js","","","","Successful Login",""
"passed","Sun Jun 09 18:54:05 WAT 2024","Sun Jun 09 18:54:37 WAT 2024","32341","chromium","Login.spec.js","","","","Successful Login",""
"passed","Sun Jun 09 18:54:42 WAT 2024","Sun Jun 09 18:55:15 WAT 2024","32910","firefox","Login.spec.js","","","","Successful Login",""
